# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.00025; 6093.6; -0.0; -34.4
3.0; 0.068; -0.00027; 6060.1; -0.0; -37.3
6.0; 0.135; -0.00028; 6027.6; -0.0; -40.4
9.0; 0.203; -0.00030; 5996.0; -0.0; -43.7
12.0; 0.269; -0.00032; 5965.2; -0.0; -47.2
15.0; 0.336; -0.00035; 5935.2; -0.0; -51.0
18.0; 0.402; -0.00037; 5906.1; -0.0; -55.1
21.0; 0.468; -0.00039; 5877.7; -0.0; -59.5
24.0; 0.533; -0.00042; 5850.0; -0.0; -64.2
27.0; 0.599; -0.00045; 5823.0; -0.0; -69.2
30.0; 0.663; -0.00048; 5796.7; -0.0; -74.6
33.0; 0.728; -0.00051; 5771.0; -0.0; -80.5
36.0; 0.792; -0.00054; 5746.0; -0.0; -86.7
39.0; 0.856; -0.00058; 5721.5; -0.0; -93.5
42.0; 0.920; -0.00062; 5697.6; -0.0; -100.8
45.0; 0.983; -0.00066; 5674.3; -0.0; -108.6
48.0; 1.047; -0.00070; 5651.5; -0.0; -117.1
51.0; 1.110; -0.00075; 5629.2; -0.0; -126.2
54.0; 1.172; -0.00080; 5607.4; -0.0; -136.0
57.0; 1.235; -0.00086; 5586.1; -0.0; -146.6
60.0; 1.297; -0.00092; 5565.2; -0.0; -158.1
63.0; 1.359; -0.00098; 5544.8; -0.0; -170.4
66.0; 1.421; -0.00105; 5524.8; -0.0; -183.7
69.0; 1.482; -0.00112; 5505.3; -0.0; -198.2
72.0; 1.543; -0.00120; 5486.1; -0.0; -213.7
75.0; 1.605; -0.00128; 5467.3; -0.0; -230.6
78.0; 1.665; -0.00137; 5449.0; -0.0; -248.8
81.0; 1.726; -0.00147; 5431.0; -0.0; -268.4
84.0; 1.787; -0.00158; 5413.3; -0.0; -289.7
87.0; 1.847; -0.00169; 5396.0; -0.0; -312.7
90.0; 1.907; -0.00181; 5379.1; -0.0; -337.6
93.0; 1.967; -0.00194; 5362.4; -0.0; -364.5
96.0; 2.026; -0.00208; 5346.1; -0.0; -393.5
99.0; 2.086; -0.00223; 5330.2; -0.0; -424.9
102.0; 2.145; -0.00239; 5314.5; -0.0; -458.8
105.0; 2.204; -0.00257; 5299.1; -0.0; -495.4
108.0; 2.263; -0.00276; 5284.0; -0.0; -534.9
111.0; 2.321; -0.00296; 5269.3; -0.0; -577.7
114.0; 2.380; -0.00319; 5254.7; -0.0; -624.2
117.0; 2.438; -0.00343; 5240.5; -0.0; -674.7
120.0; 2.496; -0.00370; 5226.5; -0.0; -729.8
123.0; 2.554; -0.00400; 5212.9; -0.0; -790.0
126.0; 2.612; -0.00432; 5199.4; -0.0; -855.9
