# fd9dd7cf-afcc-4fe9-b43d-cb44d896e892
# cb196240bb09e0a995d7b1bf5b3ebc7ad477ebab
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 215.4465664; 5.7099889; -0.7645024; -0.0000643; 43.8684690; 3.8963652
1.9984538; 216.8299454; 7.1522354; -0.7646342; -0.0000677; 44.0456125; 3.8660453
3.9969076; 218.2135200; 8.5942953; -0.7647729; -0.0000711; 44.2206762; 3.8327863
5.9953614; 219.5973010; 10.0361604; -0.7649183; -0.0000744; 44.3935525; 3.7998986
7.9938151; 220.9812936; 11.4778165; -0.7650705; -0.0000780; 44.5642833; 3.7673758
9.9922689; 222.3655121; 12.9192584; -0.7652299; -0.0000816; 44.7329095; 3.7352119
11.9907227; 223.7499680; 14.3604769; -0.7653967; -0.0000853; 44.8994710; 3.7034006
13.9891765; 225.1346654; 15.8014546; -0.7655712; -0.0000893; 45.0640061; 3.6719363
15.9876303; 226.5196220; 17.2421873; -0.7657537; -0.0000934; 45.2265523; 3.6408132
17.9860841; 227.9048507; 18.6826647; -0.7659446; -0.0000976; 45.3871461; 3.6100257
19.9845379; 229.2903544; 20.1228654; -0.7661442; -0.0001021; 45.5458227; 3.5795684
21.9829917; 230.6761549; 21.5627864; -0.7663527; -0.0001067; 45.7026167; 3.5494361
23.9814454; 232.0622664; 23.0024159; -0.7665708; -0.0001115; 45.8575614; 3.5196236
25.9798992; 233.4486911; 24.4417284; -0.7667987; -0.0001166; 46.0106895; 3.4901259
27.9783530; 234.8354549; 25.8807217; -0.7670369; -0.0001219; 46.1620327; 3.4609382
29.9768068; 236.2225739; 27.3193821; -0.7672858; -0.0001273; 46.3116217; 3.4320555
31.9752606; 237.6100496; 28.7576797; -0.7675460; -0.0001331; 46.4594868; 3.4034734
33.9737144; 238.9979125; 30.1956131; -0.7678179; -0.0001391; 46.6056572; 3.3751872
35.9721682; 240.3861805; 31.6331664; -0.7681020; -0.0001453; 46.7501615; 3.3471925
37.9706220; 241.7748550; 33.0703048; -0.7683990; -0.0001519; 46.8930274; 3.3194850
39.9690757; 243.1639713; 34.5070274; -0.7687093; -0.0001588; 47.0342821; 3.2920604
41.9675295; 244.5535498; 35.9433158; -0.7690336; -0.0001659; 47.1739521; 3.2649146
43.9659833; 245.9435915; 37.3791299; -0.7693727; -0.0001734; 47.3120631; 3.2380435
45.9644371; 247.3341374; 38.8144689; -0.7697270; -0.0001813; 47.4486404; 3.2114433
47.9628909; 248.7252106; 40.2493115; -0.7700974; -0.0001894; 47.5837085; 3.1851099
49.9613447; 250.1168123; 41.6836117; -0.7704846; -0.0001981; 47.7172915; 3.1590397
51.9597985; 251.5089893; 43.1173687; -0.7708894; -0.0002071; 47.8494127; 3.1332289
53.9582522; 252.9017681; 44.5505577; -0.7713127; -0.0002165; 47.9800951; 3.1076739
55.9567060; 254.2951502; 45.9831262; -0.7717554; -0.0002265; 48.1093609; 3.0851052
57.9551598; 255.6891893; 47.4150729; -0.7722182; -0.0002368; 48.2373454; 3.0632287
59.9536136; 257.0839153; 48.8463691; -0.7727022; -0.0002476; 48.3640872; 3.0415408
61.9520674; 258.4793303; 50.2769547; -0.7732085; -0.0002592; 48.4896039; 3.0200393
63.9505212; 259.8754966; 51.7068282; -0.7737382; -0.0002710; 48.6139127; 2.9987218
65.9489750; 261.2724469; 53.1359554; -0.7742917; -0.0002829; 48.7370303; 2.9775861
67.9474288; 262.6701834; 54.5642684; -0.7748712; -0.0002971; 48.8589731; 2.9566301
69.9458825; 264.0687807; 55.9917667; -0.7754751; -0.0003031; 48.9797574; 2.9358517
71.9443363; 265.4682510; 57.4184284; -0.7760781; -0.0003004; 49.0993988; 2.9152486
73.9427901; 266.8685850; 58.8442351; -0.7766997; -0.0003223; 49.2179128; 2.8948190
75.9412439; 268.2698468; 60.2691487; -0.7773675; -0.0003470; 49.3353146; 2.8745606
77.9396977; 269.6720582; 61.6930508; -0.7780879; -0.0003740; 49.4516190; 2.8544717
79.9381515; 271.0753855; 63.1159661; -0.7788527; -0.0003910; 49.5668405; 2.8345501
81.9366053; 272.4797962; 64.5377556; -0.7796515; -0.0004092; 49.6809935; 2.8147940
83.9350591; 273.8853230; 65.9583493; -0.7804888; -0.0004288; 49.7940919; 2.7952015
85.9335128; 275.2921609; 67.3778322; -0.7813664; -0.0004494; 49.9061494; 2.7757707
87.9319666; 276.7002243; 68.7960013; -0.7822857; -0.0004709; 50.0171795; 2.7564998
89.9304204; 278.1095591; 70.2127817; -0.7832490; -0.0004932; 50.1271954; 2.7373871
91.9288742; 279.5204199; 71.6283014; -0.7842586; -0.0005171; 50.2362101; 2.7184307
93.9273280; 280.9326741; 73.0422931; -0.7853164; -0.0005420; 50.3442362; 2.6996290
95.9257818; 282.3463821; 74.4546775; -0.7864252; -0.0005677; 50.4512863; 2.6809802
97.9242356; 283.7618537; 75.8656169; -0.7875874; -0.0005953; 50.5573725; 2.6624826
99.9226893; 285.1789168; 77.2747853; -0.7888052; -0.0006240; 50.6625070; 2.6441347
101.9211431; 286.5976466; 78.6820967; -0.7900818; -0.0006537; 50.7667014; 2.6259348
103.9195969; 288.0184031; 80.0877389; -0.7914201; -0.0006856; 50.8699675; 2.6078812
105.9180507; 289.4409836; 81.4913338; -0.7928226; -0.0007186; 50.9723166; 2.5899725
107.9165045; 290.8654783; 82.8927854; -0.7942930; -0.0007530; 51.0737598; 2.5722070
109.9149583; 292.2922914; 84.2922966; -0.7958347; -0.0007899; 51.1743081; 2.5545833
111.9134121; 293.7212013; 85.6894455; -0.7974508; -0.0008282; 51.2739724; 2.5370999
113.9118659; 295.1523127; 87.0841210; -0.7991456; -0.0008680; 51.3727632; 2.5197553
115.9103196; 296.5860676; 88.4765286; -0.8009234; -0.0009111; 51.4706909; 2.5025480
117.9087734; 298.0222396; 89.8662109; -0.8027881; -0.0009559; 51.5677659; 2.4854766
119.9072272; 299.4609497; 91.2530366; -0.8047450; -0.0010027; 51.6639981; 2.4685398
121.9056810; 300.9026673; 92.6371954; -0.8067997; -0.0010535; 51.7593974; 2.4517360
123.9041348; 302.3471809; 94.0182051; -0.8089570; -0.0011066; 51.8539737; 2.4350641
125.9025886; 303.7946389; 95.3959154; -0.8112237; -0.0011621; 51.9477364; 2.4185225
127.9010424; 305.2455016; 96.7704542; -0.8136066; -0.0012225; 52.0406949; 2.4031274
129.8994962; 306.6996181; 98.1413489; -0.8161115; -0.0012856; 52.1328975; 2.3891409
