# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.00321; 0.0; -4183.8; -2986.4
3.0; 0.084; 0.00074; 0.0; -3957.3; -3025.0
6.0; 0.169; 0.00469; 0.0; -3835.8; -3042.8
9.0; 0.255; 0.00828; 0.0; -3775.6; -3047.9
12.0; 0.342; 0.01129; 0.0; -3747.6; -3045.7
15.0; 0.429; 0.01360; 0.0; -3734.2; -3039.7
18.0; 0.518; 0.01519; 0.0; -3725.2; -3032.1
21.0; 0.606; 0.01608; 0.0; -3715.4; -3023.9
24.0; 0.695; 0.01632; 0.0; -3702.5; -3015.7
27.0; 0.783; 0.01599; 0.0; -3685.5; -3007.8
30.0; 0.873; 0.01511; 0.0; -3664.7; -2999.9
33.0; 0.964; 0.01369; 0.0; -3639.3; -2992.1
36.0; 1.058; 0.01172; 0.0; -3604.8; -2984.8
39.0; 1.155; 0.00915; 0.0; -3547.5; -2979.7
42.0; 1.254; 0.00584; 0.0; -3438.5; -2980.5
45.0; 1.353; 0.00155; 0.0; -3230.8; -2993.0
48.0; 1.453; -0.00395; 0.0; -2872.6; -3023.3
51.0; 1.552; -0.01064; 0.1; -2353.3; -3070.5
54.0; 1.652; -0.01719; 12.2; -1061.1; -3116.2
57.0; 1.750; -0.02279; 280.7; -1.4; -3143.2
60.0; 1.848; -0.02682; 1071.4; -0.4; -3151.3
63.0; 1.946; -0.02929; 1328.2; -0.2; -3152.5
66.0; 2.044; -0.03064; 1287.1; -0.2; -3152.5
69.0; 2.143; -0.03143; 1137.6; -0.1; -3152.3
72.0; 2.242; -0.03205; 963.1; -0.1; -3151.9
75.0; 2.343; -0.03271; 826.0; -0.1; -3151.0
78.0; 2.445; -0.03347; 746.6; -0.1; -3149.4
81.0; 2.547; -0.03435; 748.2; -0.1; -3147.4
84.0; 2.652; -0.03545; 890.1; -0.1; -3145.0
87.0; 2.757; -0.03705; 1258.8; -0.1; -3141.5
90.0; 2.863; -0.03963; 1905.9; -0.1; -3133.7
93.0; 2.970; -0.04372; 2756.2; -0.1; -3103.2
96.0; 3.078; -0.04954; 3556.6; -0.1; -2994.8
99.0; 3.185; -0.05647; 4115.3; -0.1; -2799.5
102.0; 3.292; -0.06282; 3982.5; -0.1; -2718.6
105.0; 3.398; -0.06642; 3205.5; -0.1; -2819.5
108.0; 3.504; -0.06602; 2333.3; -0.1; -2959.9
111.0; 3.609; -0.06190; 2032.8; -0.1; -3051.6
114.0; 3.713; -0.05514; 2416.6; -0.1; -3088.7
117.0; 3.818; -0.04667; 2908.2; -0.2; -3087.8
120.0; 3.922; -0.03686; 2660.8; -0.5; -3049.5
123.0; 4.026; -0.02573; 1041.7; -2.2; -2947.7
126.0; 4.131; -0.01370; 7.4; -2038.5; -2737.1
129.0; 4.236; -0.00216; 2.3; -5916.0; -2376.1
132.0; 4.342; 0.00723; 0.0; -9359.6; -1749.0
135.0; 4.451; 0.01150; 0.0; -12713.4; -846.3
138.0; 4.564; 0.01074; 0.0; -14967.2; -101.4
141.0; 4.683; 0.00839; 0.0; -14298.8; 258.7
144.0; 4.809; 0.01610; 0.0; -12731.0; 667.4
147.0; 4.944; 0.03247; 0.0; -10384.3; 1230.9
150.0; 5.090; 0.05501; 0.0; -7600.9; 1839.5
153.0; 5.250; 0.07976; 0.0; -5026.5; 2353.0
156.0; 5.422; 0.10268; 0.0; -3032.8; 2701.5
159.0; 5.604; 0.11944; 0.0; -1802.8; 2876.8
162.0; 5.792; 0.12833; 0.0; -1286.5; 2937.5
165.0; 5.981; 0.13269; 0.0; -1139.6; 2951.3
168.0; 6.168; 0.13684; 0.0; -1128.8; 2947.6
171.0; 6.353; 0.14315; 0.0; -1184.7; 2931.7
174.0; 6.535; 0.14969; 0.0; -0.0; 2894.1
177.0; 6.711; 0.15045; 4450.9; -0.0; 2605.0
180.0; 6.873; 0.14693; 4992.2; -0.0; 2490.3
183.0; 7.014; 0.13742; 4911.8; -0.0; 2499.0
186.0; 7.154; 0.11975; 5125.3; -0.0; 2438.8
189.0; 7.321; 0.09567; 6011.4; -0.0; 2200.7
192.0; 7.510; 0.07568; 6922.5; -0.0; 1932.4
195.0; 7.691; 0.06772; 7100.0; -0.0; 1863.8
198.0; 7.857; 0.04791; 7100.0; -0.0; 1533.1
201.0; 8.009; 0.02490; 7100.0; -0.0; 957.5
204.0; 8.151; 0.00614; 7100.0; -0.0; 351.2
207.0; 8.286; -0.00624; 7100.0; -0.0; -130.1
210.0; 8.417; -0.01384; 7100.0; -0.0; -476.2
213.0; 8.545; -0.01796; 7100.0; -0.0; -707.4
216.0; 8.671; -0.01966; 7100.0; -0.0; -847.5
219.0; 8.795; -0.01974; 7100.0; -0.0; -918.0
222.0; 8.917; -0.01880; 7100.0; -0.0; -936.8
225.0; 9.035; -0.01727; 7100.0; -0.0; -918.1
228.0; 9.151; -0.01544; 7100.0; -0.0; -873.2
231.0; 9.264; -0.01350; 7100.0; -0.0; -810.7
234.0; 9.374; -0.01159; 7100.0; -0.0; -737.0
237.0; 9.483; -0.00976; 7100.0; -0.0; -657.0
240.0; 9.589; -0.00805; 7100.0; -0.0; -574.4
243.0; 9.693; -0.00649; 7100.0; -0.0; -491.6
246.0; 9.795; -0.00507; 7100.0; -0.0; -410.0
249.0; 9.895; -0.00378; 7100.0; -0.0; -330.7
252.0; 9.993; -0.00263; 7100.0; -0.0; -254.4
255.0; 10.089; -0.00161; 7100.0; -0.0; -181.9
258.0; 10.184; -0.00073; 7100.0; -0.0; -114.0
261.0; 10.278; 0.00001; 7100.0; -0.0; -52.5
264.0; 10.370; 0.00056; 7100.0; -0.0; 0.1
267.0; 10.461; 0.00088; 7100.0; -0.0; 40.2
270.0; 10.551; 0.00093; 7100.0; -0.0; 63.1
273.0; 10.639; 0.00066; 6531.4; -2.0; 64.3
276.0; 10.727; 0.00005; 3541.3; -3.8; 40.6
279.0; 10.813; -0.00084; 14.0; -954.9; -12.5
282.0; 10.900; -0.00181; 2.2; -5980.8; -94.7
285.0; 10.987; -0.00260; 1.3; -10630.4; -196.3
288.0; 11.077; -0.00302; 1.0; -13893.4; -302.0
291.0; 11.169; -0.00321; 0.0; -14688.6; -397.8
294.0; 11.265; -0.00501; 0.0; -14029.2; -542.7
297.0; 11.366; -0.00936; 0.0; -12900.3; -806.5
300.0; 11.470; -0.01588; 0.0; -11198.6; -1196.9
303.0; 11.580; -0.02429; 0.0; -9024.5; -1667.3
306.0; 11.694; -0.03341; 0.0; -6756.5; -2126.7
309.0; 11.812; -0.04073; 0.0; -4910.3; -2482.3
312.0; 11.934; -0.04424; 0.0; -3735.1; -2703.1
315.0; 12.059; -0.04428; 0.0; -3103.0; -2820.6
318.0; 12.187; -0.04316; 0.0; -2748.3; -2882.3
321.0; 12.319; -0.04353; 0.0; -2431.7; -2926.5
324.0; 12.455; -0.04704; 0.0; -2003.5; -2974.3
327.0; 12.595; -0.05278; 0.0; -1510.8; -3019.0
330.0; 12.734; -0.05717; 0.1; -836.2; -3041.7
333.0; 12.869; -0.05802; 0.1; -206.0; -3041.8
336.0; 12.996; -0.05560; 0.0; -0.0; -3026.7
339.0; 13.116; -0.05087; 809.2; -0.0; -3001.1
342.0; 13.236; -0.04521; 2464.2; -0.0; -2980.9
345.0; 13.360; -0.04108; 2917.4; -0.0; -2988.5
348.0; 13.488; -0.04062; 2680.2; -0.0; -3019.9
351.0; 13.620; -0.04406; 2510.9; -0.0; -3033.2
354.0; 13.758; -0.04966; 4345.7; -0.0; -2706.4
357.0; 13.899; -0.05431; 6922.7; -0.0; -2048.1
360.0; 14.040; -0.05401; 7100.0; -0.0; -1969.6
363.0; 14.177; -0.04900; 7100.0; -0.0; -1965.6
366.0; 14.308; -0.03881; 7100.0; -0.0; -1791.0
369.0; 14.433; -0.02411; 7100.0; -0.0; -1364.8
372.0; 14.553; -0.01221; 7100.0; -0.0; -853.9
375.0; 14.671; -0.00858; 7100.0; -0.0; -572.6
378.0; 14.785; -0.01331; 7100.0; -0.0; -667.3
381.0; 14.898; -0.02299; 7100.0; -0.0; -1063.0
384.0; 15.009; -0.03412; 7100.0; -0.0; -1583.5
387.0; 15.118; -0.04300; 6749.2; -0.4; -2044.2
390.0; 15.225; -0.04681; 3861.3; -0.3; -2425.1
393.0; 15.332; -0.04463; 731.9; -0.4; -2698.1
396.0; 15.438; -0.03776; 1.4; -1457.7; -2847.5
