# d64b3d90-9972-4f96-8f07-e020f1dea53b
# cb196240bb09e0a995d7b1bf5b3ebc7ad477ebab
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -13.4953044; -30.5148546; 1.1512389; -0.0096018; 34.5038822; -2.4103755
1.9997938; -15.3145362; -29.6829164; 1.1327791; -0.0088685; 34.3638965; -3.3795600
3.9995876; -17.1183029; -28.8189659; 1.1155685; -0.0085254; 34.1666582; -3.9045023
5.9993813; -18.9062408; -27.9247348; 1.0984832; -0.0085587; 33.9373560; -3.9348658
7.9991751; -20.6792140; -26.9996496; 1.0812286; -0.0087160; 33.7046925; -3.8058557
9.9989689; -22.4355142; -26.0439524; 1.0636054; -0.0089395; 33.4781189; -3.6034080
11.9987627; -24.1746164; -25.0569001; 1.0454342; -0.0092294; 33.2621752; -2.9043652
13.9985565; -25.8960304; -24.0372252; 1.0263518; -0.0099580; 33.0870977; -2.3518261
15.9983502; -27.5965646; -22.9835581; 1.0055609; -0.0105470; 32.9446460; -2.3190529
17.9981440; -29.2749534; -21.8945569; 0.9851374; -0.0098859; 32.8035736; -3.1437150
19.9979378; -30.9326133; -20.7715906; 0.9656402; -0.0097329; 32.6113612; -3.4304171
21.9977316; -32.5634863; -19.6198225; 0.9461421; -0.0098087; 32.4003183; -3.4536634
23.9975254; -34.1755190; -18.4332742; 0.9263673; -0.0099511; 32.1864474; -3.4503084
25.9973191; -35.7635167; -17.2149552; 0.9063741; -0.0099897; 31.9713557; -3.5254466
27.9971129; -37.3219775; -15.9690921; 0.8864831; -0.0097090; 31.7500749; -3.8726482
29.9969067; -38.8594155; -14.6914748; 0.8690811; -0.0076251; 31.5052100; -5.4211267
31.9967005; -40.3719398; -13.3938723; 0.8539422; -0.0085423; 31.1592039; -3.8803801
33.9964943; -41.8692453; -12.0643693; 0.8348202; -0.0102818; 30.9091583; -3.3206489
35.9962880; -43.3368015; -10.7068078; 0.8135632; -0.0110105; 30.6935635; -3.1603667
37.9960818; -44.7752375; -9.3163598; 0.7910764; -0.0113227; 30.4869592; -3.0890728
39.9958756; -46.1837332; -7.8916319; 0.7681843; -0.0115430; 30.2836534; -2.9196869
41.9956694; -47.5567756; -6.4369917; 0.7448057; -0.0118695; 30.0902329; -2.2972128
