# 347a888a-2102-46bf-89be-f11af68ac279
# cb196240bb09e0a995d7b1bf5b3ebc7ad477ebab
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -19.6662590; 221.6635135; -2.3565784; -0.0005024; 51.0256782; 2.5806293
1.9985219; -18.2543376; 220.2491105; -2.3575587; -0.0004787; 51.1266538; 2.5629378
3.9970437; -16.8437625; 218.8333496; -2.3584925; -0.0004565; 51.2267401; 2.5453874
5.9955656; -15.4344785; 217.4163008; -2.3593843; -0.0004360; 51.3259479; 2.5279764
7.9940875; -14.0264378; 215.9980311; -2.3602368; -0.0004171; 51.4242876; 2.5107035
9.9926093; -12.6195759; 214.5785838; -2.3610519; -0.0003988; 51.5217697; 2.4935672
11.9911312; -11.2138427; 213.1580122; -2.3618313; -0.0003811; 51.6184041; 2.4765660
13.9896531; -9.8091993; 211.7363769; -2.3625763; -0.0003644; 51.7142010; 2.4596987
15.9881749; -8.4055882; 210.3137151; -2.3632882; -0.0003483; 51.8091702; 2.4429637
17.9866968; -7.0029647; 208.8900737; -2.3639686; -0.0003326; 51.9033211; 2.4263598
19.9852186; -5.6012945; 207.4655063; -2.3646185; -0.0003178; 51.9966635; 2.4098857
21.9837405; -4.2005261; 206.0400455; -2.3652391; -0.0003035; 52.0892065; 2.3957701
23.9822624; -2.8006199; 204.6137325; -2.3658317; -0.0002896; 52.1810447; 2.3818323
25.9807842; -1.4015456; 203.1866151; -2.3663974; -0.0002765; 52.2721887; 2.3679876
27.9793061; -0.0032570; 201.7587217; -2.3669370; -0.0002637; 52.3626457; 2.3542351
29.9778280; 1.3942813; 200.3300889; -2.3674517; -0.0002514; 52.4524227; 2.3405742
31.9763498; 2.7910960; 198.9007596; -2.3679423; -0.0002397; 52.5415267; 2.3270039
33.9748717; 4.1872288; 197.4707584; -2.3684097; -0.0002283; 52.6299645; 2.3135235
35.9733936; 5.5827116; 196.0401178; -2.3688549; -0.0002172; 52.7177429; 2.3001322
37.9719154; 6.9775675; 194.6088768; -2.3692785; -0.0002067; 52.8048686; 2.2868293
39.9704373; 8.3718349; 193.1770567; -2.3696813; -0.0001965; 52.8913481; 2.2736140
41.9689592; 9.7655424; 191.7446867; -2.3700640; -0.0001865; 52.9771879; 2.2604856
43.9674810; 11.1587103; 190.3118026; -2.3704272; -0.0001770; 53.0623944; 2.2474433
45.9660029; 12.5513741; 188.8784227; -2.3707716; -0.0001677; 53.1469738; 2.2344864
47.9645248; 13.9435597; 187.4445735; -2.3710978; -0.0001587; 53.2309324; 2.2216142
49.9630466; 15.3352849; 186.0102882; -2.3714063; -0.0001500; 53.3142763; 2.2088259
51.9615685; 16.7265829; 184.5755826; -2.3716976; -0.0001416; 53.3970114; 2.1961210
53.9600904; 18.1174775; 183.1404808; -2.3719723; -0.0001333; 53.4791438; 2.1834986
55.9586122; 19.5079838; 181.7050142; -2.3722307; -0.0001254; 53.5606792; 2.1709582
57.9571341; 20.8981336; 180.2691958; -2.3724735; -0.0001176; 53.6416235; 2.1584990
59.9556559; 22.2879484; 178.8330481; -2.3727010; -0.0001100; 53.7219823; 2.1461204
61.9541778; 23.6774412; 177.3966008; -2.3729136; -0.0001028; 53.8017613; 2.1338217
63.9526997; 25.0666424; 175.9598646; -2.3731118; -0.0000957; 53.8809661; 2.1216022
65.9512215; 26.4555715; 174.5228600; -2.3732960; -0.0000887; 53.9596019; 2.1094614
