# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.00006; 5683.8; -0.0; 14.8
3.0; 0.063; 0.00006; 5660.9; -0.0; 13.8
6.0; 0.126; 0.00005; 5638.4; -0.0; 12.9
9.0; 0.189; 0.00005; 5616.4; -0.0; 12.1
12.0; 0.251; 0.00004; 5594.9; -0.0; 11.3
15.0; 0.313; 0.00004; 5573.8; -0.0; 10.5
18.0; 0.376; 0.00004; 5553.1; -0.0; 9.8
21.0; 0.438; 0.00003; 5532.9; -0.0; 9.2
24.0; 0.499; 0.00003; 5513.0; -0.0; 8.5
27.0; 0.561; 0.00003; 5493.6; -0.0; 8.0
30.0; 0.623; 0.00003; 5474.5; -0.0; 7.4
33.0; 0.684; 0.00002; 5455.9; -0.0; 6.9
36.0; 0.745; 0.00002; 5437.7; -0.0; 6.4
39.0; 0.806; 0.00002; 5419.8; -0.0; 6.0
42.0; 0.866; 0.00002; 5402.3; -0.0; 5.6
45.0; 0.927; 0.00002; 5385.3; -0.0; 5.2
48.0; 0.986; 0.00002; 5368.5; -0.0; 4.8
51.0; 1.046; 0.00001; 5352.2; -0.0; 4.5
54.0; 1.105; 0.00001; 5336.2; -0.0; 4.1
57.0; 1.164; 0.00001; 5320.5; -0.0; 3.8
60.0; 1.222; 0.00001; 5305.1; -0.0; 3.5
63.0; 1.281; 0.00001; 5289.9; -0.0; 3.2
66.0; 1.339; 0.00001; 5275.0; -0.0; 2.9
69.0; 1.397; 0.00001; 5260.4; -0.0; 2.7
72.0; 1.455; 0.00001; 5245.9; -0.0; 2.4
75.0; 1.513; 0.00001; 5231.7; -0.0; 2.2
78.0; 1.571; 0.00000; 5217.8; -0.0; 1.9
81.0; 1.629; 0.00000; 5204.0; -0.0; 1.7
84.0; 1.687; 0.00000; 5190.5; -0.0; 1.5
87.0; 1.745; 0.00000; 5177.1; -0.0; 1.2
90.0; 1.803; -0.00000; 5164.0; -0.0; 0.9
93.0; 1.861; -0.00000; 5151.1; -0.0; 0.5
96.0; 1.918; -0.00001; 5138.4; -0.0; -0.0
99.0; 1.976; -0.00002; 5126.0; -0.0; -0.8
102.0; 2.033; -0.00002; 5113.7; -0.0; -1.9
105.0; 2.090; -0.00004; 5101.7; -0.0; -3.4
108.0; 2.147; -0.00005; 5089.8; -0.0; -5.4
111.0; 2.203; -0.00007; 5078.1; -0.0; -8.0
114.0; 2.260; -0.00009; 5066.6; -0.0; -11.3
117.0; 2.316; -0.00012; 5055.3; -0.0; -15.5
120.0; 2.373; -0.00015; 5044.2; -0.0; -20.6
123.0; 2.429; -0.00018; 5033.3; -0.0; -26.6
126.0; 2.485; -0.00022; 5022.5; -0.0; -33.4
129.0; 2.541; -0.00025; 5011.9; -0.0; -40.8
132.0; 2.597; -0.00028; 5001.4; -0.0; -48.6
135.0; 2.652; -0.00030; 4991.1; -0.0; -56.2
138.0; 2.708; -0.00030; 4981.0; -0.1; -63.2
141.0; 2.763; -0.00029; 4971.0; -0.1; -68.7
144.0; 2.819; -0.00026; 4961.1; -0.2; -72.0
147.0; 2.874; -0.00021; 4252.9; -3.1; -72.7
150.0; 2.929; -0.00015; 2527.2; -5.3; -71.0
153.0; 2.984; -0.00006; 127.2; -113.9; -66.8
156.0; 3.039; 0.00003; 4.4; -3042.7; -60.5
159.0; 3.094; 0.00013; 2.1; -6395.0; -52.2
162.0; 3.150; 0.00020; 1.4; -9807.1; -42.3
165.0; 3.206; 0.00025; 1.0; -13025.8; -31.5
168.0; 3.263; 0.00027; 0.8; -15789.3; -20.7
171.0; 3.321; 0.00024; 0.7; -17823.0; -11.0
174.0; 3.380; 0.00019; 0.4; -18836.4; -2.6
177.0; 3.440; 0.00005; 0.0; -18636.4; -0.0
180.0; 3.502; -0.00003; 0.0; -18431.2; 0.0
183.0; 3.565; -0.00003; 0.0; -18228.8; -0.0
186.0; 3.630; -0.00001; 0.0; -18029.4; -0.0
189.0; 3.696; 0.00000; 0.0; -17832.8; -0.0
192.0; 3.764; 0.00000; 0.0; -17639.0; -0.0
195.0; 3.833; 0.00000; 0.0; -17448.0; -0.0
198.0; 3.905; -0.00000; 0.0; -17259.7; -0.0
201.0; 3.979; -0.00000; 0.0; -17074.1; -0.0
204.0; 4.055; -0.00000; 0.0; -16891.2; -0.0
207.0; 4.133; 0.00000; 0.0; -16710.9; -0.0
210.0; 4.214; -0.00000; 0.0; -16533.2; -0.0
213.0; 4.298; -0.00000; 0.0; -16358.0; -0.0
216.0; 4.385; -0.00000; 0.0; -16185.3; -0.0
219.0; 4.476; 0.00000; 0.0; -16015.0; -0.0
222.0; 4.570; -0.00000; 0.0; -15847.2; -0.0
225.0; 4.669; -0.00101; 0.0; -15543.8; -45.6
228.0; 4.773; -0.00513; 0.0; -14712.1; -255.4
231.0; 4.882; -0.01206; 0.0; -13149.8; -656.7
234.0; 4.998; -0.02194; 0.0; -10877.9; -1198.9
237.0; 5.119; -0.03424; 0.0; -8247.7; -1771.3
240.0; 5.247; -0.04667; 0.0; -5834.4; -2255.4
243.0; 5.379; -0.05585; 0.0; -4112.3; -2581.4
246.0; 5.517; -0.06042; 0.0; -3110.0; -2764.0
249.0; 5.660; -0.06204; 0.0; -2556.8; -2859.2
252.0; 5.810; -0.06376; 0.0; -2167.7; -2916.1
255.0; 5.971; -0.06792; 0.0; -1762.3; -2961.5
258.0; 6.137; -0.07393; 0.0; -1361.8; -2995.7
261.0; 6.293; -0.07862; 0.0; -1112.1; -3010.0
264.0; 6.422; -0.08057; 0.1; -961.3; -3010.1
267.0; 6.524; -0.08020; 0.0; -326.9; -3007.6
270.0; 6.617; -0.07816; 0.0; -0.0; -2998.1
273.0; 6.731; -0.07478; 260.7; -0.0; -2977.6
276.0; 6.884; -0.07112; 2110.5; -0.0; -2972.1
279.0; 7.063; -0.07140; 2459.8; -0.0; -3005.1
282.0; 7.247; -0.07772; 4439.6; -0.0; -2666.9
285.0; 7.420; -0.08633; 6200.2; -0.0; -2239.8
288.0; 7.579; -0.08938; 5536.5; -0.0; -2398.2
291.0; 7.730; -0.08544; 5090.4; -0.0; -2508.8
294.0; 7.877; -0.07781; 5123.9; -0.0; -2501.8
297.0; 8.022; -0.06924; 5499.7; -0.0; -2407.7
300.0; 8.164; -0.06141; 6019.1; -0.0; -2270.4
303.0; 8.304; -0.05468; 6525.6; -0.0; -2130.1
306.0; 8.441; -0.04702; 7100.0; -0.0; -1959.3
309.0; 8.573; -0.03290; 7100.0; -0.0; -1605.8
312.0; 8.703; -0.01296; 7100.0; -0.0; -906.6
315.0; 8.829; 0.00976; 7099.9; -0.1; 109.4
318.0; 8.952; 0.03070; 3458.9; -0.8; 1189.8
321.0; 9.073; 0.04444; 0.4; -1398.5; 2060.5
324.0; 9.193; 0.04826; 0.2; -4394.4; 2563.6
327.0; 9.315; 0.04420; 0.0; -3377.8; 2784.4
330.0; 9.438; 0.03940; 0.0; -2942.3; 2872.1
333.0; 9.563; 0.03546; 0.0; -2770.9; 2903.9
336.0; 9.689; 0.03346; 0.0; -2680.7; 2915.6
339.0; 9.817; 0.03409; 0.0; -2556.4; 2926.3
342.0; 9.946; 0.03766; 0.0; -2321.9; 2946.9
345.0; 10.080; 0.04379; 0.0; -1955.1; 2979.5
348.0; 10.221; 0.05102; 0.1; -1522.0; 3014.2
351.0; 10.368; 0.05650; 0.1; -851.8; 3034.5
354.0; 10.519; 0.05827; 0.0; -288.9; 3033.8
357.0; 10.670; 0.05630; 0.0; -0.0; 3016.2
360.0; 10.815; 0.05165; 903.3; -0.0; 2988.7
363.0; 10.950; 0.04629; 2825.5; -0.0; 2972.8
366.0; 11.075; 0.04305; 2858.3; -0.0; 2990.3
369.0; 11.202; 0.04381; 2571.4; -0.0; 3025.9
372.0; 11.341; 0.04837; 2835.6; -0.0; 2971.4
375.0; 11.489; 0.05406; 6015.4; -0.0; 2307.4
378.0; 11.637; 0.05722; 7099.9; -0.0; 1971.0
381.0; 11.779; 0.05253; 7100.0; -0.0; 1955.0
384.0; 11.915; 0.03385; 7100.0; -0.0; 1589.5
387.0; 12.043; 0.00542; 7100.0; -0.0; 634.1
390.0; 12.164; -0.02323; 7100.0; -0.0; -619.8
393.0; 12.281; -0.04254; 7100.0; -0.0; -1565.3
396.0; 12.394; -0.05065; 6961.2; -0.0; -2069.6
399.0; 12.506; -0.05405; 6021.3; -0.0; -2360.5
402.0; 12.615; -0.05453; 5448.1; -0.0; -2524.4
405.0; 12.724; -0.05400; 5122.7; -0.0; -2616.2
408.0; 12.831; -0.05362; 4945.8; -0.0; -2669.7
411.0; 12.937; -0.05410; 4830.8; -0.0; -2708.7
414.0; 13.042; -0.05567; 4711.2; -0.0; -2749.1
417.0; 13.146; -0.05797; 4557.8; -0.0; -2795.5
420.0; 13.249; -0.06013; 4382.9; -0.0; -2842.8
423.0; 13.352; -0.06130; 4219.8; -0.0; -2883.4
426.0; 13.454; -0.06100; 4099.5; -0.1; -2912.0
429.0; 13.555; -0.05907; 3432.1; -0.1; -2944.7
432.0; 13.655; -0.05540; 2586.1; -0.2; -2983.9
435.0; 13.755; -0.04987; 1948.1; -0.3; -3018.2
438.0; 13.855; -0.04262; 1330.4; -0.7; -3038.9
441.0; 13.955; -0.03421; 390.8; -6.6; -3043.6
444.0; 14.056; -0.02547; 18.5; -1000.6; -3030.0
447.0; 14.157; -0.01718; 7.0; -2390.3; -3005.8
450.0; 14.261; -0.00961; 0.0; -2998.1; -2977.9
453.0; 14.366; -0.00348; 0.0; -3245.7; -2945.5
456.0; 14.473; 0.00078; 0.0; -3554.1; -2900.5
459.0; 14.583; 0.00305; 0.0; -4020.1; -2827.3
462.0; 14.696; 0.00303; 0.0; -4782.8; -2691.0
465.0; 14.812; 0.00023; 0.0; -6033.0; -2426.7
468.0; 14.931; -0.00556; 0.0; -7706.0; -2021.1
471.0; 15.055; -0.01352; 0.0; -8973.0; -1677.7
474.0; 15.185; -0.02279; 0.0; -9115.5; -1596.9
477.0; 15.321; -0.03394; 0.0; -8254.8; -1753.9
480.0; 15.465; -0.04801; 0.0; -6743.9; -2050.8
483.0; 15.618; -0.06544; 0.0; -4873.0; -2404.8
486.0; 15.777; -0.08362; 0.0; -3080.4; -2712.6
489.0; 15.943; -0.09624; 0.0; -1913.0; -2888.9
492.0; 16.114; -0.10146; 0.0; -1379.2; -2960.1
495.0; 16.291; -0.10237; 0.0; -1171.8; -2982.0
498.0; 16.473; -0.10217; 0.0; -1089.0; -2983.9
501.0; 16.661; -0.10246; 0.0; -1048.1; -2976.3
504.0; 16.854; -0.10315; 0.0; -1025.8; -2960.4
507.0; 17.050; -0.10301; 0.0; -1020.5; -2929.1
510.0; 17.246; -0.09983; 0.0; -0.0; -2895.7
513.0; 17.431; -0.09296; 2154.1; -0.0; -2864.2
516.0; 17.595; -0.08637; 3258.9; -0.0; -2873.1
519.0; 17.737; -0.08288; 2932.9; -0.0; -2920.5
522.0; 17.869; -0.08231; 2450.7; -0.0; -2970.5
525.0; 18.009; -0.08304; 5099.4; -0.0; -2446.5
528.0; 18.169; -0.08297; 7100.0; -0.0; -1844.7
531.0; 18.340; -0.06935; 7100.0; -0.0; -1703.8
534.0; 18.509; -0.04149; 7100.0; -0.0; -1206.4
537.0; 18.671; -0.00414; 5979.5; -2.1; -249.3
540.0; 18.826; 0.03598; 103.9; -1.1; 1010.4
543.0; 18.977; 0.07083; 0.2; -4951.5; 2090.0
546.0; 19.132; 0.09415; 0.0; -3212.6; 2667.9
549.0; 19.295; 0.10697; 0.0; -1716.8; 2903.7
552.0; 19.469; 0.11047; 0.0; -1179.2; 2974.1
555.0; 19.658; 0.10979; 0.0; -1022.0; 2986.6
558.0; 19.852; 0.10846; 0.0; -982.9; 2981.0
561.0; 20.034; 0.10759; 0.0; -975.8; 2969.3
564.0; 20.191; 0.10679; 0.0; -980.5; 2953.6
567.0; 20.325; 0.10538; 0.0; -996.0; 2930.4
570.0; 20.450; 0.10217; 60.9; -0.0; 2911.2
573.0; 20.583; 0.09659; 3020.4; -0.0; 2907.4
576.0; 20.736; 0.09260; 2540.9; -0.0; 2966.2
579.0; 20.913; 0.09272; 4855.6; -0.0; 2523.0
582.0; 21.106; 0.09426; 6629.8; -0.0; 2032.4
585.0; 21.297; 0.08679; 6510.5; -0.0; 2060.1
588.0; 21.478; 0.07434; 6824.8; -0.0; 1970.7
591.0; 21.650; 0.06573; 7100.0; -0.0; 1895.6
594.0; 21.812; 0.06221; 7100.0; -0.0; 1910.4
597.0; 21.965; 0.05836; 7100.0; -0.0; 1922.6
600.0; 22.111; 0.04773; 7100.0; -0.0; 1771.3
603.0; 22.251; 0.03452; 7100.0; -0.0; 1461.2
606.0; 22.386; 0.02255; 7100.0; -0.0; 1079.6
609.0; 22.516; 0.01320; 7100.0; -0.0; 715.2
612.0; 22.642; 0.00606; 7100.0; -0.0; 398.9
615.0; 22.765; 0.00071; 7100.0; -0.0; 134.7
618.0; 22.885; -0.00327; 7100.0; -0.0; -82.5
621.0; 23.001; -0.00617; 7100.0; -0.0; -259.4
624.0; 23.115; -0.00822; 7100.0; -0.0; -400.7
627.0; 23.226; -0.00952; 7100.0; -0.0; -508.9
630.0; 23.335; -0.01009; 7100.0; -0.0; -582.3
633.0; 23.441; -0.00987; 7100.0; -0.0; -614.8
636.0; 23.545; -0.00868; 7100.0; -0.0; -594.9
639.0; 23.647; -0.00629; 7100.0; -0.0; -504.4
642.0; 23.748; -0.00240; 7100.0; -0.0; -318.8
645.0; 23.846; 0.00326; 7100.0; -0.0; -10.4
648.0; 23.943; 0.01080; 7100.0; -0.0; 437.5
651.0; 24.039; 0.01969; 7100.0; -0.1; 995.7
654.0; 24.132; 0.02807; 5099.8; -1.3; 1597.0
657.0; 24.225; 0.03306; 1654.3; -0.8; 2142.7
660.0; 24.317; 0.03263; 0.8; -1547.4; 2534.2
663.0; 24.410; 0.02731; 1.7; -3490.5; 2762.2
666.0; 24.504; 0.01953; 0.1; -3837.9; 2876.6
669.0; 24.599; 0.01240; 0.0; -3621.2; 2929.7
672.0; 24.697; 0.00759; 0.1; -3466.0; 2956.2
675.0; 24.796; 0.00547; 0.1; -3279.2; 2977.6
678.0; 24.897; 0.00607; 0.2; -2981.0; 3007.6
681.0; 25.000; 0.00884; 7.5; -2268.8; 3049.1
684.0; 25.106; 0.01302; 15.5; -1183.9; 3092.1
687.0; 25.214; 0.01764; 60.9; -227.9; 3123.7
690.0; 25.321; 0.02159; 467.4; -1.3; 3139.3
693.0; 25.424; 0.02425; 767.3; -0.6; 3144.3
696.0; 25.520; 0.02557; 908.0; -0.4; 3144.2
699.0; 25.607; 0.02582; 992.3; -0.3; 3141.9
702.0; 25.691; 0.02527; 1074.7; -0.3; 3138.3
705.0; 25.778; 0.02411; 1242.2; -0.3; 3133.9
708.0; 25.874; 0.02243; 1521.3; -0.3; 3130.2
711.0; 25.980; 0.02030; 1809.4; -0.4; 3129.5
714.0; 26.091; 0.01760; 1840.4; -0.6; 3129.9
717.0; 26.202; 0.01409; 1292.3; -1.2; 3118.7
720.0; 26.311; 0.00945; 4.4; -30.4; 3072.7
723.0; 26.418; 0.00359; 6.0; -2035.0; 2971.3
726.0; 26.526; -0.00320; 0.1; -4164.9; 2806.8
729.0; 26.636; -0.01005; 0.0; -5919.0; 2507.2
732.0; 26.749; -0.01374; 0.0; -8994.7; 1820.0
735.0; 26.867; -0.01316; 0.0; -12936.4; 727.1
738.0; 26.992; -0.00974; 0.0; -15068.3; -0.1
741.0; 27.127; -0.00776; 0.0; -14089.2; -262.7
744.0; 27.272; -0.02104; 0.0; -12430.6; -696.4
747.0; 27.431; -0.04609; 0.0; -9970.4; -1290.4
750.0; 27.605; -0.07981; 0.0; -7349.3; -1871.9
753.0; 27.795; -0.11756; 0.0; -5145.7; -2326.4
756.0; 28.004; -0.15427; 0.0; -3602.3; -2604.7
759.0; 28.232; -0.18729; 0.0; -2748.5; -2718.3
762.0; 28.484; -0.21815; 0.0; -2737.3; -2697.0
765.0; 28.757; -0.24497; 0.0; -20.1; -2669.6
768.0; 29.018; -0.26041; 0.0; -0.0; -2677.5
771.0; 29.250; -0.26216; 1450.2; -0.0; -2617.8
774.0; 29.470; -0.24855; 4739.4; -0.0; -2482.7
777.0; 29.685; -0.22398; 4653.7; -0.0; -2513.9
780.0; 29.904; -0.19041; 4813.9; -0.0; -2484.9
783.0; 30.133; -0.14954; 5534.8; -0.0; -2302.4
