# bc982fb9-21e0-4423-b289-c6fdf1385b5c
# cb196240bb09e0a995d7b1bf5b3ebc7ad477ebab
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 216.4910790; -117.6081925; 3.0594228; 0.0002795; 46.9411932; 3.3101369
1.9984867; 216.3275274; -119.5996992; 3.0598310; 0.0001290; 47.0819089; 3.2828070
3.9969735; 216.1644933; -121.5913318; 3.0599714; 0.0000439; 47.2210487; 3.2557546
5.9954602; 216.0015916; -123.5836249; 3.0600381; 0.0000231; 47.3586381; 3.2289755
7.9939469; 215.8388637; -125.5750835; 3.0600833; 0.0000220; 47.4947022; 3.2024659
9.9924337; 215.6761935; -127.5669177; 3.0601263; 0.0000212; 47.6292652; 3.1762220
11.9909204; 215.5135727; -129.5591860; 3.0601680; 0.0000205; 47.7623511; 3.1502399
13.9894071; 215.3510983; -131.5506674; 3.0602083; 0.0000199; 47.8939830; 3.1245160
15.9878939; 215.1886721; -133.5425338; 3.0602475; 0.0000194; 48.0241837; 3.0996513
17.9863806; 215.0262896; -135.5348164; 3.0602857; 0.0000189; 48.1530003; 3.0776486
19.9848673; 214.8640482; -137.5262985; 3.0603231; 0.0000185; 48.2805625; 3.0558361
21.9833541; 214.7018476; -139.5181897; 3.0603598; 0.0000184; 48.4068881; 3.0342114
23.9818408; 214.5396863; -141.5105061; 3.0603970; 0.0000188; 48.5319944; 3.0127724
25.9803275; 214.3776584; -143.5018819; 3.0604071; -0.0000087; 48.6558984; 2.9915166
27.9788143; 214.2155268; -145.4939640; 3.0603279; -0.0001063; 48.7786168; 2.9704419
29.9773010; 214.0529467; -147.4861641; 3.0599448; -0.0002770; 48.9001660; 2.9495461
31.9757877; 213.8894738; -149.4783408; 3.0595505; -0.0001101; 49.0205620; 2.9288272
33.9742745; 213.7255668; -151.4703039; 3.0594713; -0.0000079; 49.1398203; 2.9082830
35.9727612; 213.5616718; -153.4615465; 3.0594749; 0.0000115; 49.2579564; 2.8879115
37.9712479; 213.3977257; -155.4538264; 3.0594988; 0.0000116; 49.3749853; 2.8677106
39.9697347; 213.2338686; -157.4455920; 3.0595213; 0.0000108; 49.4909218; 2.8476785
41.9682214; 213.0700965; -159.4368476; 3.0595417; 0.0000097; 49.6057803; 2.8278130
43.9667081; 212.9062690; -161.4292507; 3.0595602; 0.0000088; 49.7195749; 2.8081125
45.9651949; 212.7425308; -163.4209981; 3.0595770; 0.0000079; 49.8323196; 2.7885748
47.9636816; 212.5788722; -165.4121634; 3.0595920; 0.0000070; 49.9440281; 2.7691983
49.9621683; 212.4151304; -167.4046825; 3.0596049; 0.0000060; 50.0547136; 2.7499811
51.9606551; 212.2514783; -169.3963997; 3.0596157; 0.0000048; 50.1643893; 2.7309215
53.9591418; 212.0878996; -171.3874556; 3.0596238; 0.0000033; 50.2730681; 2.7120176
55.9576285; 211.9242196; -173.3801138; 3.0596553; 0.0000291; 50.3807626; 2.6932678
57.9561153; 211.7607652; -175.3715826; 3.0597753; 0.0001288; 50.4874852; 2.6746703
59.9546020; 211.5978634; -177.3627769; 3.0602108; 0.0003072; 50.5932480; 2.6562235
61.9530887; 211.4359242; -179.3543178; 3.0606442; 0.0001264; 50.6980631; 2.6379258
63.9515755; 211.2745009; -181.3459214; 3.0607579; 0.0000263; 50.8019421; 2.6197756
65.9500622; 211.1131119; -183.3385436; 3.0607853; 0.0000020; 50.9048965; 2.6017712
67.9485489; 210.9518439; -185.3299593; 3.0607896; 0.0000023; 51.0069378; 2.5839111
69.9470357; 210.7905472; -187.3218434; 3.0607946; 0.0000027; 51.1080769; 2.5661937
71.9455224; 210.6292070; -189.3143994; 3.0608004; 0.0000031; 51.2083248; 2.5486177
73.9440091; 210.4679664; -191.3058770; 3.0608067; 0.0000032; 51.3076923; 2.5311814
75.9424959; 210.3067032; -193.2977908; 3.0608131; 0.0000031; 51.4061899; 2.5138834
77.9409826; 210.1454044; -195.2902998; 3.0608192; 0.0000029; 51.5038278; 2.4967222
79.9394693; 209.9841948; -197.2818522; 3.0608249; 0.0000028; 51.6006164; 2.4796965
81.9379561; 209.8229649; -199.2737942; 3.0608302; 0.0000023; 51.6965656; 2.4628048
83.9364428; 209.6617042; -201.2662298; 3.0608339; 0.0000008; 51.7916852; 2.4460458
85.9349295; 209.5005114; -203.2578112; 3.0608263; -0.0000084; 51.8859850; 2.4294181
87.9334163; 209.3392347; -205.2498845; 3.0607729; -0.0000659; 51.9794744; 2.4129204
89.9319030; 209.1776680; -207.2422214; 3.0605476; -0.0001493; 52.0721628; 2.3983553
91.9303897; 209.0156322; -209.2342100; 3.0603369; -0.0000615; 52.1641285; 2.3844005
93.9288765; 208.8533393; -211.2262270; 3.0602797; -0.0000133; 52.2553986; 2.3705389
95.9273632; 208.6910155; -213.2179179; 3.0602696; 0.0000024; 52.3459804; 2.3567697
97.9258499; 208.5286662; -215.2099155; 3.0602733; 0.0000014; 52.4358810; 2.3430922
99.9243367; 208.3663310; -217.2018061; 3.0602751; 0.0000006; 52.5251072; 2.3295054
101.9228234; 208.2040094; -219.1935604; 3.0602758; 0.0000000; 52.6136661; 2.3160087
103.9213101; 208.0416688; -221.1855450; 3.0602747; -0.0000011; 52.7015644; 2.3026012
105.9197969; 207.8793323; -223.1774263; 3.0602714; -0.0000024; 52.7888087; 2.2892823
107.9182836; 207.7169947; -225.1692033; 3.0602652; -0.0000039; 52.8754057; 2.2760511
