# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.04621; 7100.0; -0.0; -1985.0
3.0; 0.124; -0.04194; 7100.0; -0.0; -1942.0
6.0; 0.245; -0.03159; 7100.0; -0.0; -1711.4
9.0; 0.363; -0.02019; 7100.0; -0.0; -1311.9
12.0; 0.477; -0.01131; 7100.0; -0.0; -874.2
15.0; 0.589; -0.00566; 7100.0; -0.0; -518.3
18.0; 0.699; -0.00218; 7100.0; -0.0; -266.6
21.0; 0.806; -0.00013; 7100.0; -0.0; -100.0
24.0; 0.911; 0.00101; 7100.0; -0.0; 5.7
27.0; 1.014; 0.00159; 7100.0; -0.0; 69.8
30.0; 1.116; 0.00182; 7100.0; -0.0; 106.2
33.0; 1.215; 0.00186; 7100.0; -0.0; 124.5
36.0; 1.313; 0.00179; 7100.0; -0.0; 131.3
39.0; 1.409; 0.00167; 7100.0; -0.0; 131.0
42.0; 1.503; 0.00153; 7100.0; -0.0; 126.7
45.0; 1.596; 0.00138; 7100.0; -0.0; 120.1
48.0; 1.688; 0.00124; 7100.0; -0.0; 112.5
51.0; 1.778; 0.00112; 7100.0; -0.0; 104.5
54.0; 1.868; 0.00100; 7100.0; -0.0; 96.8
57.0; 1.956; 0.00089; 7100.0; -0.0; 89.3
60.0; 2.043; 0.00080; 7100.0; -0.0; 82.3
63.0; 2.130; 0.00072; 7100.0; -0.0; 75.8
66.0; 2.216; 0.00064; 7100.0; -0.0; 69.7
69.0; 2.302; 0.00058; 7100.0; -0.0; 64.1
72.0; 2.389; 0.00052; 7100.0; -0.0; 58.9
75.0; 2.477; 0.00046; 7100.0; -0.0; 54.2
78.0; 2.563; 0.00042; 7100.0; -0.0; 50.1
81.0; 2.646; 0.00038; 7072.2; -0.0; 46.4
84.0; 2.724; 0.00034; 7005.7; -0.0; 43.1
87.0; 2.800; 0.00031; 6943.0; -0.0; 40.0
90.0; 2.873; 0.00028; 6883.1; -0.0; 37.2
93.0; 2.946; 0.00025; 6825.6; -0.0; 34.5
96.0; 3.018; 0.00023; 6770.3; -0.0; 32.1
99.0; 3.089; 0.00021; 6716.8; -0.0; 29.8
102.0; 3.160; 0.00019; 6665.1; -0.0; 27.7
105.0; 3.231; 0.00017; 6615.0; -0.0; 25.7
108.0; 3.302; 0.00016; 6566.3; -0.0; 24.0
111.0; 3.373; 0.00014; 6519.0; -0.0; 22.3
114.0; 3.443; 0.00013; 6473.0; -0.0; 20.8
117.0; 3.514; 0.00012; 6428.3; -0.0; 19.3
120.0; 3.585; 0.00011; 6384.8; -0.0; 18.0
123.0; 3.655; 0.00010; 6342.4; -0.0; 16.8
126.0; 3.726; 0.00009; 6301.4; -0.0; 15.7
129.0; 3.796; 0.00008; 6261.6; -0.0; 14.6
132.0; 3.866; 0.00008; 6223.1; -0.0; 13.6
135.0; 3.936; 0.00007; 6185.8; -0.0; 12.8
138.0; 4.005; 0.00007; 6149.6; -0.0; 11.9
141.0; 4.074; 0.00006; 6114.4; -0.0; 11.2
144.0; 4.142; 0.00006; 6080.4; -0.0; 10.5
147.0; 4.210; 0.00005; 6047.2; -0.0; 9.8
150.0; 4.277; 0.00005; 6015.0; -0.0; 9.2
153.0; 4.344; 0.00004; 5983.7; -0.0; 8.6
156.0; 4.411; 0.00004; 5953.3; -0.0; 8.1
159.0; 4.477; 0.00004; 5923.7; -0.0; 7.7
162.0; 4.543; 0.00004; 5894.8; -0.0; 7.2
165.0; 4.609; 0.00003; 5866.7; -0.0; 6.8
168.0; 4.674; 0.00003; 5839.3; -0.0; 6.4
171.0; 4.739; 0.00003; 5812.6; -0.0; 6.1
174.0; 4.804; 0.00003; 5786.6; -0.0; 5.8
177.0; 4.868; 0.00003; 5761.2; -0.0; 5.5
180.0; 4.932; 0.00002; 5736.3; -0.0; 5.2
183.0; 4.996; 0.00002; 5712.1; -0.0; 5.0
186.0; 5.060; 0.00002; 5688.5; -0.0; 4.8
189.0; 5.123; 0.00002; 5665.3; -0.0; 4.6
192.0; 5.186; 0.00002; 5642.7; -0.0; 4.4
195.0; 5.249; 0.00002; 5620.6; -0.0; 4.3
198.0; 5.312; 0.00002; 5599.0; -0.0; 4.1
201.0; 5.374; 0.00002; 5577.9; -0.0; 4.0
204.0; 5.436; 0.00002; 5557.2; -0.0; 3.9
207.0; 5.498; 0.00002; 5537.0; -0.0; 3.9
210.0; 5.560; 0.00002; 5517.2; -0.0; 3.8
213.0; 5.621; 0.00002; 5497.8; -0.0; 3.8
216.0; 5.682; 0.00002; 5478.8; -0.0; 3.8
219.0; 5.743; 0.00002; 5460.2; -0.0; 3.8
222.0; 5.804; 0.00002; 5441.9; -0.0; 3.8
225.0; 5.864; 0.00002; 5424.0; -0.0; 3.9
228.0; 5.925; 0.00002; 5406.5; -0.0; 4.0
231.0; 5.985; 0.00002; 5389.3; -0.0; 4.1
234.0; 6.045; 0.00002; 5372.4; -0.0; 4.2
237.0; 6.105; 0.00002; 5355.9; -0.0; 4.4
240.0; 6.164; 0.00002; 5339.7; -0.0; 4.6
243.0; 6.224; 0.00002; 5323.7; -0.0; 4.8
246.0; 6.283; 0.00003; 5308.1; -0.0; 5.1
249.0; 6.342; 0.00003; 5292.7; -0.0; 5.4
252.0; 6.401; 0.00003; 5277.7; -0.0; 5.8
255.0; 6.460; 0.00003; 5262.9; -0.0; 6.2
258.0; 6.518; 0.00003; 5248.3; -0.0; 6.7
261.0; 6.577; 0.00004; 5234.0; -0.0; 7.3
264.0; 6.635; 0.00004; 5220.0; -0.0; 7.9
267.0; 6.693; 0.00004; 5206.2; -0.0; 8.6
270.0; 6.751; 0.00005; 5192.7; -0.0; 9.4
273.0; 6.808; 0.00005; 5179.3; -0.0; 10.3
276.0; 6.866; 0.00006; 5166.2; -0.0; 11.3
279.0; 6.924; 0.00006; 5153.3; -0.0; 12.5
282.0; 6.981; 0.00007; 5140.7; -0.0; 13.8
285.0; 7.038; 0.00008; 5128.2; -0.0; 15.2
288.0; 7.095; 0.00008; 5115.9; -0.0; 16.8
291.0; 7.152; 0.00009; 5103.9; -0.0; 18.5
294.0; 7.209; 0.00010; 5092.0; -0.0; 20.4
297.0; 7.265; 0.00011; 5080.3; -0.0; 22.4
300.0; 7.322; 0.00012; 5068.8; -0.0; 24.6
303.0; 7.378; 0.00013; 5057.5; -0.0; 27.0
306.0; 7.435; 0.00014; 5046.4; -0.0; 29.6
309.0; 7.491; 0.00015; 5035.4; -0.0; 32.5
312.0; 7.547; 0.00017; 5024.6; -0.0; 35.9
315.0; 7.603; 0.00020; 5014.0; -0.0; 39.9
318.0; 7.658; 0.00023; 5003.5; -0.0; 44.9
321.0; 7.714; 0.00027; 4993.2; -0.0; 51.4
324.0; 7.770; 0.00033; 4983.0; -0.0; 59.8
327.0; 7.825; 0.00041; 4973.0; -0.0; 70.9
330.0; 7.880; 0.00051; 4963.1; -0.0; 85.4
333.0; 7.935; 0.00063; 4953.4; -0.0; 104.0
336.0; 7.991; 0.00078; 4943.8; -0.0; 127.3
339.0; 8.046; 0.00094; 4934.3; -0.0; 155.7
342.0; 8.100; 0.00112; 4925.0; -0.0; 189.0
345.0; 8.155; 0.00128; 4915.8; -0.0; 226.4
348.0; 8.210; 0.00143; 4906.8; -0.0; 266.2
351.0; 8.264; 0.00152; 4897.9; -0.0; 305.7
354.0; 8.319; 0.00153; 4889.1; -0.0; 340.9
357.0; 8.373; 0.00143; 4880.4; -0.0; 366.7
360.0; 8.428; 0.00117; 4871.9; -0.0; 376.8
363.0; 8.482; 0.00074; 4863.4; -0.0; 364.4
366.0; 8.536; 0.00012; 4855.1; -0.0; 322.5
369.0; 8.590; -0.00068; 4846.9; -0.0; 245.0
372.0; 8.644; -0.00164; 4838.8; -0.1; 127.9
375.0; 8.698; -0.00267; 4830.8; -0.1; -28.5
378.0; 8.751; -0.00367; 4822.9; -0.1; -218.1
381.0; 8.805; -0.00448; 4489.2; -2.9; -428.3
384.0; 8.859; -0.00493; 3158.3; -4.2; -643.7
387.0; 8.912; -0.00484; 1061.5; -12.0; -847.4
390.0; 8.966; -0.00409; 8.1; -1610.7; -1021.3
393.0; 9.020; -0.00265; 2.9; -4581.6; -1150.1
396.0; 9.074; -0.00061; 1.7; -7659.4; -1221.4
399.0; 9.128; 0.00180; 1.3; -10622.8; -1227.4
402.0; 9.183; 0.00424; 1.0; -13253.9; -1165.3
405.0; 9.239; 0.00633; 0.9; -15331.1; -1036.4
408.0; 9.295; 0.00778; 0.2; -16620.8; -841.2
411.0; 9.353; 0.00812; 0.1; -17250.6; -600.1
414.0; 9.411; 0.00685; 0.0; -17797.5; -367.3
417.0; 9.471; 0.00477; 0.0; -18185.1; -176.6
420.0; 9.532; 0.00254; 0.0; -18357.5; -52.6
423.0; 9.595; 0.00066; 0.0; -18312.5; -0.0
426.0; 9.659; -0.00049; 0.0; -18111.6; -0.0
429.0; 9.724; -0.00037; 0.0; -17914.1; -0.0
432.0; 9.791; -0.00006; 0.0; -17719.3; -0.0
