# 25eb6491-face-485e-b527-11a7a6a2a708
# cb196240bb09e0a995d7b1bf5b3ebc7ad477ebab
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -14.9547840; -49.1860013; -1.2439173; -0.0128626; 23.2817327; 5.6009471
1.9970582; -13.0541900; -48.5686922; -1.2695501; -0.0127819; 23.7573128; 5.3702547
3.9941164; -11.1402874; -48.0005803; -1.2948033; -0.0123603; 24.2045313; 5.3272716
5.9911746; -9.2131081; -47.4798454; -1.3187326; -0.0116102; 24.6401517; 5.5040541
7.9882328; -7.2734034; -47.0032818; -1.3405633; -0.0102316; 25.0822828; 5.5368368
9.9852909; -5.3249793; -46.5665547; -1.3595040; -0.0086445; 25.5193198; 5.5205558
11.9823491; -3.3691928; -46.1634601; -1.3749769; -0.0068511; 25.9477441; 5.5043226
13.9794073; -1.4078917; -45.7871926; -1.3869684; -0.0051608; 26.3679792; 5.4881372
15.9764655; 0.5571527; -45.4311939; -1.3956840; -0.0036764; 26.7804142; 5.4719993
17.9735237; 2.5247787; -45.0896731; -1.4017767; -0.0024254; 27.1854076; 5.4559090
19.9705819; 4.4941169; -44.7579305; -1.4057674; -0.0015866; 27.5832907; 5.4398659
21.9676401; 6.4644867; -44.4324515; -1.4081804; -0.0009078; 27.9743701; 5.4238700
23.9646983; 8.4353997; -44.1105860; -1.4094850; -0.0003987; 28.3589307; 5.4079211
25.9617564; 10.4066794; -43.7903935; -1.4099618; -0.0000877; 28.7372374; 5.3920191
27.9588146; 12.3779624; -43.4705629; -1.4098627; 0.0001540; 29.1095374; 5.3761639
29.9558728; 14.3490941; -43.1501495; -1.4093866; 0.0003228; 29.4760613; 5.3603553
31.9529310; 16.3201488; -42.8284923; -1.4086485; 0.0004124; 29.8370252; 5.3445932
33.9499892; 18.2908626; -42.5052272; -1.4077497; 0.0004751; 30.1926316; 5.3288775
35.9470474; 20.2612167; -42.1801070; -1.4067665; 0.0005096; 30.5430706; 5.3132079
37.9441056; 22.2313929; -41.8529677; -1.4057325; 0.0005249; 30.8885210; 5.2975845
39.9411638; 24.2010814; -41.5237846; -1.4046610; 0.0005595; 31.2291514; 5.2820069
41.9382219; 26.1704018; -41.1923957; -1.4034839; 0.0006193; 31.5651208; 5.2664752
43.9352801; 28.1392454; -40.8586681; -1.4023222; 0.0005357; 31.8965792; 5.2509892
45.9323383; 30.1078160; -40.5228169; -1.4013341; 0.0004681; 32.2236687; 5.2355487
47.9293965; 32.0762502; -40.1850879; -1.4004341; 0.0004332; 32.5465239; 5.2201535
49.9264547; 34.0440861; -39.8457032; -1.3995954; 0.0004073; 32.8652722; 5.2048037
51.9235129; 36.0118343; -39.5046853; -1.3988070; 0.0003825; 33.1800348; 5.1894990
53.9205711; 37.9794420; -39.1621431; -1.3980671; 0.0003585; 33.4909267; 5.1742393
55.9176293; 39.9463487; -38.8182724; -1.3973761; 0.0003334; 33.7980574; 5.1590245
57.9146874; 41.9136048; -38.4729799; -1.3966986; 0.0003951; 34.1015312; 5.1438544
59.9117456; 43.8804239; -38.1261373; -1.3957291; 0.0005762; 34.4014474; 5.1287289
61.9088038; 45.8450029; -37.7767687; -1.3934475; 0.0017910; 34.6979008; 5.1136479
63.9058620; 47.8078591; -37.4206066; -1.3890496; 0.0019782; 34.9909821; 5.0986112
65.9029202; 49.7737466; -37.0562257; -1.3864472; 0.0006344; 35.2807777; 5.0836188
67.8999784; 51.7294185; -36.6906100; -1.3855696; 0.0003637; 35.5673704; 5.0686704
69.8970366; 53.6932694; -36.3220814; -1.3853840; -0.0009678; 35.8508396; 5.0537660
71.8940948; 55.6584575; -35.9578301; -1.3908052; -0.0043924; 36.1312611; 5.0290609
73.8911529; 57.6266100; -35.6093418; -1.3999320; -0.0038032; 36.4081678; 4.9935049
75.8882111; 59.6021256; -35.2750711; -1.4058715; -0.0021358; 36.6810485; 4.9583555
77.8852693; 61.5787610; -34.9492376; -1.4083827; -0.0003598; 36.9500145; 4.9236030
79.8823275; 63.5573284; -34.6245382; -1.4073359; 0.0013096; 37.2151718; 4.8892384
81.8793857; 65.5143682; -34.2980825; -1.4031167; 0.0030135; 37.4766221; 4.8552528
83.8764439; 67.4949613; -33.9562680; -1.3965918; 0.0033578; 37.7344623; 4.8216379
